season,player,pos,fg_per_36_min,fga_per_36_min,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,percent_corner_3s_of_3pa,corner_3_point_percent
2023,Devin Booker,SG,10.3,20.9,0.494,14.5,0.704,0.156,0.202,0.204,0.142,0.296,0.554,0.351,0.387,0.685,0.02,0.149,0.362
2023,Devonte' Graham,PG,4.3,11.6,0.374,22.5,0.216,0.058,0.072,0.035,0.051,0.784,0.452,0.352,0.31,0.798,0,0.104,0.429
2023,Devonte' Graham,PG,3.8,10.3,0.368,23,0.177,0.056,0.056,0.03,0.035,0.823,0.463,0.347,0.421,0.848,0,0.105,0.35
2023,Dillon Brooks,SF,6.4,16.1,0.396,15.8,0.557,0.157,0.19,0.138,0.072,0.443,0.451,0.326,0.438,0.797,0.012,0.164,0.361
2023,Domantas Sabonis,C,7.6,12.3,0.615,6.3,0.912,0.493,0.318,0.044,0.058,0.088,0.639,0.373,0.581,1,0.094,0.12,0.2
2023,Donovan Mitchell,SG,10.1,20.8,0.484,16.3,0.547,0.214,0.152,0.079,0.102,0.453,0.566,0.386,0.26,0.482,0.029,0.054,0.382
2023,Donte DiVincenzo,SG,4.5,10.3,0.435,19.7,0.3,0.124,0.131,0.026,0.019,0.7,0.525,0.397,0.612,0.927,0.017,0.228,0.419
2023,Dorian Finney-Smith,PF,3.5,9,0.391,17.8,0.325,0.218,0.088,0.012,0.008,0.675,0.503,0.337,0.671,0.974,0.084,0.382,0.38
2023,Doug McDermott,SF,6.5,14.3,0.457,17.3,0.43,0.176,0.163,0.054,0.038,0.57,0.516,0.413,0.845,0.984,0.027,0.198,0.407
2023,Draymond Green,PF,3.9,7.4,0.527,10.3,0.724,0.297,0.363,0.04,0.023,0.276,0.612,0.305,0.852,1,0.051,0.298,0.308
2023,Drew Eubanks,C,4.9,7.6,0.641,5.8,0.946,0.497,0.317,0.108,0.024,0.054,0.655,0.389,0.783,1,0.269,0.167,0
2023,Dwight Powell,C,4.9,6.6,0.732,2.5,0.981,0.799,0.167,0.004,0.011,0.019,0.746,0,0.787,NA,0.316,0.4,0
2023,Dyson Daniels,PG,3,7.2,0.418,13.6,0.587,0.308,0.221,0.048,0.01,0.413,0.492,0.314,0.55,0.889,0.034,0.302,0.346
2023,Edmond Sumner,SG,6.1,13.2,0.461,11.2,0.677,0.316,0.268,0.052,0.041,0.323,0.511,0.356,0.634,0.903,0.033,0.529,0.348
2023,Eric Gordon,SG,5.3,12,0.446,17.2,0.455,0.164,0.243,0.041,0.006,0.545,0.535,0.371,0.39,0.811,0.002,0.084,0.467
2023,Evan Mobley,PF,7,12.6,0.554,7.3,0.892,0.411,0.323,0.122,0.036,0.108,0.595,0.216,0.74,1,0.239,0.402,0.195
2023,Franz Wagner,SF,7.5,15.4,0.485,12,0.678,0.27,0.311,0.063,0.034,0.322,0.544,0.361,0.464,0.8,0.03,0.172,0.435
2023,Fred VanVleet,PG,6.2,15.8,0.393,18.6,0.455,0.12,0.144,0.091,0.101,0.545,0.455,0.342,0.187,0.594,0,0.122,0.419
2023,Gabe Vincent,PG,4.7,11.6,0.402,19,0.383,0.093,0.138,0.09,0.062,0.617,0.512,0.334,0.432,0.735,0.002,0.323,0.381
2023,Garrison Mathews,SG,3.8,10.5,0.363,23.8,0.104,0.045,0.04,0.01,0.01,0.896,0.476,0.35,0.5,0.952,0.01,0.228,0.39
2023,Gary Trent Jr.,SG,6.9,15.9,0.433,17.8,0.519,0.117,0.129,0.121,0.152,0.481,0.493,0.369,0.498,0.861,0.024,0.178,0.288
2023,Georges Niang,PF,5.3,12,0.442,20.8,0.235,0.096,0.112,0.024,0.004,0.765,0.576,0.401,0.75,1,0,0.19,0.534
2023,Giannis Antetokounmpo,PF,12.6,22.7,0.553,8.1,0.866,0.48,0.212,0.091,0.084,0.134,0.596,0.275,0.415,0.617,0.166,0.023,0.25
2023,Goran Dragić,PG,5.8,13.9,0.421,15.8,0.567,0.185,0.128,0.179,0.075,0.433,0.468,0.359,0.393,0.904,0,0.186,0.481
2023,Goran Dragić,PG,5.8,13.7,0.425,15.5,0.572,0.191,0.13,0.181,0.07,0.428,0.48,0.352,0.39,0.911,0,0.195,0.48
2023,Gordon Hayward,SF,6.3,13.3,0.475,14.4,0.725,0.16,0.201,0.191,0.172,0.275,0.532,0.325,0.554,0.904,0.028,0.231,0.432
2023,Grant Williams,PF,3.8,8.4,0.454,17.5,0.389,0.137,0.2,0.046,0.006,0.611,0.546,0.395,0.594,0.957,0.032,0.416,0.421
2023,Grayson Allen,SG,4.5,10.2,0.44,18.7,0.343,0.18,0.104,0.054,0.005,0.657,0.518,0.399,0.606,0.884,0.027,0.213,0.474
2023,Hamidou Diallo,SG,7.8,13.6,0.573,6.8,0.944,0.443,0.304,0.125,0.072,0.056,0.593,0.238,0.643,1,0.139,0.524,0.273
2023,Harrison Barnes,PF,5.1,10.7,0.473,13.7,0.554,0.259,0.234,0.053,0.008,0.446,0.553,0.374,0.587,0.932,0.063,0.365,0.395
2023,Haywood Highsmith,SF,3.5,8,0.431,15.4,0.495,0.241,0.148,0.069,0.037,0.505,0.523,0.339,0.625,0.973,0.06,0.44,0.313
2023,Herbert Jones,SF,4.3,9.2,0.469,10.9,0.667,0.389,0.222,0.018,0.038,0.333,0.536,0.335,0.67,0.964,0.086,0.515,0.337
2023,Immanuel Quickley,PG,6.4,14.4,0.448,16.5,0.515,0.127,0.205,0.127,0.056,0.485,0.521,0.37,0.263,0.72,0.009,0.271,0.366
2023,Isaac Okoro,SF,3.8,7.7,0.494,12.8,0.517,0.376,0.133,0.006,0.003,0.483,0.617,0.363,0.752,0.952,0.099,0.854,0.377
2023,Isaiah Hartenstein,C,3.9,7.2,0.535,6,0.887,0.56,0.202,0.122,0.003,0.113,0.576,0.216,0.611,1,0.144,0.649,0.292
2023,Isaiah Jackson,C,6.2,11,0.563,4.2,0.956,0.626,0.261,0.044,0.025,0.044,0.582,0.143,0.74,1,0.302,0.214,0.333
2023,Isaiah Joe,SG,5.8,13.1,0.441,22.6,0.224,0.067,0.037,0.045,0.075,0.776,0.553,0.409,0.714,0.95,0.016,0.132,0.519
2023,Isaiah Livers,PF,3.6,8.6,0.417,20.7,0.295,0.076,0.076,0.066,0.076,0.705,0.541,0.365,0.696,0.932,0.031,0.315,0.422
2023,Isaiah Stewart,C,5,11.2,0.442,13.5,0.535,0.302,0.209,0.009,0.016,0.465,0.542,0.327,0.688,1,0.075,0.327,0.328
2023,Ish Wainright,SF,3.3,8.9,0.37,19.8,0.238,0.15,0.075,0.009,0.004,0.762,0.5,0.329,0.519,0.982,0.026,0.514,0.337
2023,Ivica Zubac,C,5.4,8.5,0.634,3.3,0.996,0.593,0.377,0.021,0.004,0.004,0.637,0,0.733,NA,0.286,0,NA
2023,Ja Morant,PG,10.5,22.4,0.466,11.1,0.753,0.289,0.295,0.144,0.025,0.247,0.519,0.307,0.181,0.533,0.058,0.1,0.433
2023,Jabari Smith Jr.,PF,5.3,13.1,0.408,16.2,0.562,0.155,0.178,0.12,0.109,0.438,0.487,0.307,0.648,0.883,0.054,0.176,0.348
2023,Jabari Walker,SF,4.8,11.5,0.419,10.5,0.717,0.404,0.197,0.071,0.045,0.283,0.472,0.286,0.716,0.938,0.116,0.232,0.154
2023,Jaden Ivey,SG,6.4,15.4,0.416,14.1,0.644,0.244,0.213,0.098,0.09,0.356,0.457,0.343,0.246,0.733,0.034,0.117,0.366
2023,Jaden McDaniels,SF,5.5,10.7,0.517,12.5,0.624,0.288,0.215,0.088,0.034,0.376,0.588,0.398,0.658,0.991,0.115,0.506,0.419
2023,Jakob Poeltl,C,7.3,11.7,0.629,4.8,0.998,0.494,0.366,0.138,0.002,0.002,0.63,0,0.656,NA,0.045,0,NA
2023,Jalen Brunson,PG,8.9,18.1,0.491,12.9,0.731,0.149,0.331,0.172,0.079,0.269,0.519,0.416,0.166,0.575,0.002,0.205,0.424
2023,Jalen Duren,C,5.6,8.6,0.648,3.3,0.995,0.606,0.339,0.048,0.003,0.005,0.652,0,0.667,NA,0.412,0.5,0
2023,Jalen Green,SG,7.8,18.8,0.417,15.2,0.592,0.202,0.212,0.079,0.099,0.408,0.471,0.338,0.351,0.572,0.046,0.128,0.324
2023,Jalen Johnson,SF,5.5,11.1,0.491,11.2,0.677,0.398,0.189,0.043,0.047,0.323,0.587,0.288,0.625,1,0.152,0.442,0.283
2023,Jalen McDaniels,SF,5.3,11.6,0.455,12.4,0.624,0.316,0.214,0.078,0.016,0.376,0.53,0.332,0.578,0.974,0.076,0.392,0.33
2023,Jalen McDaniels,SF,5.3,11.9,0.447,13.1,0.591,0.298,0.206,0.071,0.016,0.409,0.534,0.322,0.526,0.969,0.073,0.376,0.329
2023,Jalen Smith,PF,6.8,14.3,0.476,12.5,0.624,0.352,0.185,0.037,0.049,0.376,0.593,0.283,0.734,1,0.085,0.304,0.276
2023,Jalen Suggs,PG,5.4,12.8,0.419,15.8,0.545,0.23,0.162,0.077,0.077,0.455,0.496,0.327,0.317,0.712,0.016,0.134,0.407
2023,Jalen Williams,SG,6.5,12.6,0.521,10.4,0.742,0.377,0.246,0.073,0.047,0.258,0.579,0.356,0.416,0.904,0.106,0.146,0.367
2023,Jamal Murray,PG,8,17.6,0.454,16.5,0.585,0.147,0.161,0.134,0.143,0.415,0.494,0.398,0.329,0.605,0.019,0.123,0.491
2023,James Harden,PG,6.3,14.2,0.441,16.6,0.504,0.165,0.19,0.106,0.043,0.496,0.495,0.385,0.129,0.416,0.001,0.05,0.429
2023,JaMychal Green,PF,6.1,11.4,0.54,12.8,0.56,0.345,0.171,0.016,0.028,0.44,0.667,0.378,0.66,1,0.246,0.387,0.372
2023,Jaren Jackson Jr.,C,8.4,16.6,0.506,11.4,0.657,0.304,0.319,0.028,0.006,0.343,0.585,0.355,0.595,0.96,0.112,0.209,0.322
2023,Jarred Vanderbilt,PF,4.7,8.6,0.548,7.7,0.8,0.479,0.282,0.031,0.009,0.2,0.604,0.322,0.679,1,0.213,0.878,0.354
2023,Jarred Vanderbilt,PF,5,8.9,0.556,7.8,0.817,0.447,0.318,0.042,0.01,0.183,0.606,0.333,0.682,1,0.206,0.895,0.373
2023,Jarrett Allen,C,6.5,10.2,0.644,4.4,0.984,0.575,0.307,0.075,0.027,0.016,0.653,0.1,0.774,1,0.319,0.6,0
