player,pos,fga_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,pts_per_36_min
Paul Millsap,PF,14,8.6,3.4,2,1,18.3
Paul Pierce,SF,12.3,5.5,2.7,0.9,0.5,16.3
Pero Antić,C,10.3,6.6,1.7,0.6,0.5,12.4
Quincy Acy,PF,9.3,8.4,1.9,0.8,0.6,11.1
Quincy Pondexter,SF,9,3.9,1.9,0.4,0.5,10.8
Rajon Rondo,PG,11.5,6.7,9.6,1.6,0.1,10.8
Ramon Sessions,PG,10.1,4.4,5.5,0.9,0,12.2
Rasual Butler,SF,12.4,4.7,1.5,0.7,0.5,13.9
Ray McCallum,PG,11.8,4.5,4.7,1.1,0.3,12.6
Reggie Jackson,PG,15.8,5.2,7.3,1,0.1,17.7
Richard Jefferson,SF,9.4,5.3,1.8,0.9,0.3,12.5
Robert Covington,SF,13.9,5.8,1.9,1.8,0.6,17.4
Robert Sacre,C,9.7,7.4,1.7,0.9,1.4,9.8
Rodney Stuckey,PG,14.5,4.8,4.2,1.1,0.2,17.2
Roy Hibbert,C,13.3,10.1,1.6,0.3,2.3,15
Rudy Gay,SF,16.7,6,3.7,1.1,0.6,21.4
Rudy Gobert,C,7.1,12.9,1.8,1.1,3.2,11.4
Russell Westbrook,PG,23,7.6,9,2.2,0.2,29.5
Serge Ibaka,PF,13.4,8.5,0.9,0.5,2.6,15.6
Shane Larkin,PG,8.3,3.4,4.4,1.8,0.2,9.1
Shaun Livingston,PG,9.7,4.5,6.4,1.2,0.5,11.3
Shawne Williams,SF,9.9,5.5,1.5,0.8,0.7,11.3
Solomon Hill,SF,9.6,4.7,2.8,1,0.3,11
Spencer Hawes,PF,11.7,7.3,2.5,0.7,1.5,12
Stephen Curry,PG,18.5,4.7,8.5,2.2,0.2,26.2
Steve Blake,PG,7.7,3.2,6.8,1,0.1,8.2
Steven Adams,C,8.1,10.6,1.3,0.8,1.7,10.9
Tarik Black,C,8.2,11.1,1.3,0.6,0.7,11.4
Terrence Ross,SF,13,3.9,1.5,0.9,0.4,13.9
Thaddeus Young,PF,14.3,6.1,2.6,1.8,0.4,15.8
Tim Duncan,C,13.2,11.4,3.7,1,2.4,17.3
Tim Hardaway Jr.,SG,15.4,3.3,2.7,0.4,0.3,17.2
Timofey Mozgov,C,10,10.4,1,0.6,1.7,13.8
Tobias Harris,SF,14.4,6.5,1.9,1,0.5,17.7
Tony Allen,SG,9.9,6.1,1.9,2.8,0.7,11.8
Tony Parker,PG,15.3,2.4,6.2,0.8,0,18
Tony Snell,SF,9.5,4.5,1.6,0.8,0.3,11.1
Trevor Ariza,SF,11.2,5.6,2.6,1.9,0.2,12.9
Trevor Booker,PF,10.7,9.1,1.9,1,0.9,13.1
Trey Burke,PG,15.8,3.2,5.2,1,0.2,15.3
Tristan Thompson,PF,8,10.8,0.6,0.6,1,11.4
Ty Lawson,PG,12.5,3.2,9.7,1.2,0.1,15.4
Tyler Hansbrough,PF,5.6,9,0.7,1,0.5,9.2
Tyler Zeller,C,12.9,9.7,2.4,0.4,1.1,17.3
Tyreke Evans,SG,15.6,5.6,7,1.3,0.5,17.6
Tyson Chandler,C,6.9,13.6,1.3,0.7,1.4,12.1
Victor Oladipo,SG,15.2,4.2,4.1,1.7,0.3,18.1
Vince Carter,SG,13.4,4.4,2.6,1.4,0.5,12.7
Wayne Ellington,SG,13.3,4.5,2.3,0.7,0,14
Wesley Johnson,SF,11.1,5.1,2,0.9,0.7,12.1
Wilson Chandler,SF,14.2,6.9,2,0.8,0.4,15.8
Zach LaVine,PG,12.8,4.1,5.2,1,0.2,14.7
Zach Randolph,PF,14.6,11.7,2.4,1.1,0.2,17.9
Zaza Pachulia,C,11,10.4,3.7,1.7,0.4,12.6
